Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"SOURCEBUS",    7102.85,         0,     0.00,    13.6126,   0.1917,    17.0683,   0.2403,    51.2048,   0.1809
"N2",    6829.76,         0,     0.00,    11.9688,   0.1752,    160.354,    2.348,    481.063,   0.1753
